 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 30 ° ;1.140;1.320;1.570;1.900;2.300;2.950;3.900;5.300
 25 ° ;1.220;1.450;1.750;2.150;2.700;3.500;4.700;6.700
 20 ° ;1.310;1.580;1.930;2.450;3.100;4.200;5.800;8.400
 15 ° ;1.390;1.700;2.100;2.700;3.500;4.900;6.900;10.000
 10 ° ;1.470;1.840;2.300;3.000;4.100;5.700;8.500;13.100
 5 ° ;1.540;1.950;2.500;3.400;4.600;6.800;10.200;16.500
 0 ° ;1.590;2.050;2.750;3.700;5.300;8.000;12.000;20.000
 -5 ° ;1.640;2.200;2.950;4.100;5.900;9.000;14.600;26.000
 -10 ° ;1.700;2.300;3.100;4.500;6.600;10.500;17.600;33.000
 -15 ° ;1.720;2.400;3.400;4.900;7.500;12.100;21.000;41.000
 -20 ° ;1.750;2.450;3.600;5.400;8.400;14.000;25.500;52.000
 -25 ° ;1.760;2.550;3.800;5.800;9.400;16.400;31.000;66.000
 -30 ° ;1.770;2.600;4.000;6.300;10.600;18.800;37.000;82.000
 -35 ° ;1.770;2.650;4.200;6.800;11.800;22.000;45.000;102.000
 -40 ° ;1.740;2.700;4.400;7.400;13.200;25.000;53.000;128.000
 -45 ° ;1.710;2.750;4.600;8.000;14.700;29.500;65.000;162.000
 -50 ° ;1.670;2.750;4.800;8.600;16.400;34.000;78.000;210.000
 -55 ° ;1.610;2.800;4.900;9.200;18.200;39.000;94.000;255.000
 -60 ° ;1.540;2.750;5.100;9.900;20.500;45.000;112.000;320.000
 -65 ° ;1.450;2.700;5.300;10.600;22.500;53.000;135.000;410.000
 -70 ° ;1.350;2.700;5.400;11.400;25.500;61.000;161.000;510.000
 -75 ° ;1.240;2.600;5.500;12.200;28.000;70.000;197.000;640.000
 -80 ° ;1.110;2.500;5.700;13.100;31.000;82.000;235.000;810.000
 -85 ° ;  ;2.400;5.800;14.000;35.000;94.000;285.000;  
 -90 ° ;  ;2.300;5.900;15.000;39.000;110.000;350.000;  
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;1.200;1.500;1.850;2.450;3.200
 45 ° ;  ;1.030;1.220;1.480;1.710;2.300;3.100;4.200
 40 ° ;1.000;1.180;1.410;1.720;2.150;2.800;3.800;5.300
 35 ° ;1.110;1.320;1.600;1.990;2.550;3.300;4.600;6.700
 30 ° ;1.200;1.450;1.790;2.250;2.900;3.900;5.600;8.500
 25 ° ;1.290;1.580;1.990;2.550;3.300;4.700;6.800;10.600
 20 ° ;1.380;1.720;2.200;2.850;3.900;5.500;8.300;13.300
 15 ° ;1.460;1.850;2.400;3.200;4.400;6.500;10.000;16.900
 10 ° ;1.540;1.980;2.600;3.600;5.000;7.500;12.100;21.000
 5 ° ;1.610;2.100;2.800;3.900;5.700;8.800;14.500;26.000
 0 ° ;1.660;2.200;3.100;4.300;6.500;10.000;17.500;33.000
