Beta/phi=-1 ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 35 ° ;1.270;1.640;2.200;3.100;4.700;7.500;13.200;26.500
 30 ° ;1.370;1.800;2.450;3.500;5.400;8.800;16.000;33.000
 25 ° ;1.460;1.960;2.700;4.000;6.200;10.500;19.500;42.000
 20 ° ;1.560;2.100;3.000;4.400;7.100;12.300;23.500;53.000
 15 ° ;1.650;2.250;3.300;5.000;8.100;14.400;29.000;68.000
 10 ° ;1.730;2.400;3.600;5.500;9.200;16.900;35.000;85.000
 5 ° ;1.810;2.550;3.800;6.100;10.500;19.800;43.000;108.000
 0 ° ;1.870;2.700;4.200;6.700;11.800;23.000;51.000;135.000
 -5 ° ;1.930;2.850;4.400;7.400;13.500;27.000;62.000;170.000
 -10 ° ;1.980;2.950;4.800;8.100;15.100;31.000;75.000;215.000
