 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 -30 ° ;1.710;2.500;3.700;5.600;9.000;15.400;28.500;58.000
 -35 ° ;1.700;2.500;3.800;6.100;10.100;17.600;34.000;72.000
 -40 ° ;1.680;2.550;4.000;6.500;11.100;21.000;42.000;90.000
 -45 ° ;1.650;2.600;4.200;7.100;12.500;23.500;49.000;114.000
 -50 ° ;1.600;2.600;4.300;7.600;13.800;27.000;59.000;142.000
 -55 ° ;1.540;2.600;4.500;8.100;15.300;32.000;71.000;181.000
 -60 ° ;1.480;2.550;4.600;8.700;17.000;36.000;85.000;225.000
 -65 ° ;1.380;2.550;4.800;9.200;19.000;42.000;102.000;285.000
 -70 ° ;1.310;2.500;4.900;9.900;21.000;49.000;123.000;360.000
 -75 ° ;1.170;2.400;5.000;10.600;23.500;56.000;148.000;450.000
 -80 ° ;1.060;2.300;5.000;11.200;26.000;65.000;180.000;570.000
 -85 ° ;  ;2.200;5.100;12.000;29.000;75.000;215.000;710.000
 -90 ° ;  ;2.050;5.200;12.700;32.000;87.000;260.000;900.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;1.000;1.240;1.520;2.050;2.500
 45 ° ;  ;  ;1.080;1.300;1.600;1.950;2.500;3.300
 40 ° ;  ;1.100;1.320;1.580;1.950;2.400;3.200;4.200
 35 ° ;1.080;1.260;1.500;1.840;2.300;2.850;3.800;5.200
 30 ° ;1.170;1.400;1.690;2.200;2.650;3.400;4.800;6.500
 25 ° ;1.260;1.530;1.870;2.350;3.000;4.000;5.600;8.200
 20 ° ;1.340;1.650;2.050;2.650;3.400;4.700;6.900;10.000
 15 ° ;1.430;1.780;2.250;2.950;3.900;5.400;8.000;12.500
 10 ° ;1.500;1.900;2.450;3.200;4.400;6.300;9.800;14.700
 5 ° ;1.560;2.000;2.650;3.600;5.000;7.400;11.600;19.400
 0 ° ;1.620;2.100;2.850;3.900;5.600;8.500;14.200;24.000
 -5 ° ;1.670;2.200;3.000;4.300;6.300;9.900;16.400;30.000
 -10 ° ;1.710;2.300;3.200;4.700;7.100;11.400;19.800;38.000
 -15 ° ;1.740;2.400;3.500;5.100;7.900;13.100;23.500;47.000
 -20 ° ;1.760;2.500;3.600;5.500;8.900;15.200;28.000;58.000
 -25 ° ;1.770;2.600;3.900;6.000;9.900;17.500;34.000;74.000
 -30 ° ;1.780;2.650;4.000;6.500;11.000;20.000;41.000;93.000
